Entity,Year,Deaths %,CO2 Emissions,CO2 Emissions Per Cap,Food Emissions,Total GHG,Consumption of Ozone,Shared CO2 Emissions,Transport,Death_rate_ambient_ozone_pol,Death_rate_household_air_pol,Death_rate_all_causes,Death_actual_ozone,Death_actual_particulate,Death_actual_household,Death_under5,Death_5-14,Death_50-69,Death_70+,Death_15-49,Urban%,Child Mortality,Population,GDP,Forest area
Libya,2001,11.60538885728325,48462693,8.9033,10990800.0,115410000.0,1596.5,0.19,11500000.0,1.6669165172887852,2.57463988925032,74.70808551015968,36.8693927775156,1915.2309962882896,66.8266734882939,182.676513133214,3.8112348832537832,649.4030539996915,837.4861029981638,278.7234840514852,76.502,2.7300000000000004,3.09356365868352,16193.0871860589,217000.0
Libya,2002,11.67350110856131,48186163,8.7119,10773100.0,120130000.0,1596.5,0.19,11700000.0,1.600450315678857,2.0765424232908307,76.03229508277015,36.40685901311499,1994.3047956387293,55.10366973620454,176.28028721035312,3.662511999247629,663.6671582107962,891.3793710162136,295.7223262152336,76.629,2.64,3.1434903440672,15783.0981754167,217000.0
Libya,2003,11.75615529306465,49473554,8.8023,11686400.0,123410000.0,1511.6,0.18,11900000.0,1.44528128513102,1.6032255123844754,74.52816435085147,33.94874816660569,2011.0634831428213,43.71758254437841,168.42160735902365,3.575522027170998,664.0465265444208,903.5084893373823,305.4600860414342,76.768,2.5500000000000003,3.19432635802539,17553.5531997824,217000.0
Libya,2004,11.73650623921512,50628915,8.8665,11876200.0,127310000.0,1281.5,0.18,12400000.0,1.3763283064763996,1.201703874410075,70.27228043376914,33.43367088657575,1957.721587445533,33.77057285190312,157.92437886290787,3.3924865828051023,652.3756805354363,865.7364400913588,311.7262722596015,76.919,2.44,3.24525898814463,18048.9425099151,217000.0
Libya,2005,11.8520549287814,56988605,9.828,13299500.0,133500000.0,1088.0,0.19,12700000.0,1.2006532574853768,0.961177011138993,69.5270996401983,30.21029682601096,1994.253694605945,27.752433505800568,147.19142139250343,2.985863287710511,665.1702445258504,879.6593390356088,329.4571231902826,77.08,2.31,3.29552894506519,19883.4829147438,217000.0
Libya,2006,11.97901483113236,53255754,9.0465,13062800.0,134570000.0,520.7,0.17,12800000.0,1.3507002197309617,0.7891424390294477,69.90454207957521,35.155173793490164,2065.767351629955,23.448796974050147,136.99578426966193,3.032145844940493,691.7472033041349,914.1171678692484,355.0302241354645,77.253,2.17,3.34568921422645,20858.5365109573,217000.0
Libya,2007,12.23418397733648,49977432,8.3647,12570400.0,132360000.0,142.8,0.16,11600000.0,1.4094645646299238,0.7012233809715446,76.46705653426518,37.97215860726114,2333.759169395428,21.489369966555785,129.01150196511514,3.391767004370517,790.4348309029987,1024.5535914866905,424.3396366435138,77.437,2.02,3.39565227275311,21857.1320263584,217000.0
Libya,2008,12.15029651393554,53590669,8.8452,12532200.0,138240000.0,111.6,0.17,13300000.0,1.372228734642647,0.5698461100851171,77.03075033099299,38.28592009250922,2428.277476674096,18.013513712047175,120.94965999609272,3.725657549663489,795.0389207989415,1102.261836500574,444.5873219213321,77.632,1.88,3.44336587971856,22129.1937498892,217000.0
Libya,2009,12.22100505871544,53121373,8.6602,12713500.0,141430000.0,127.5,0.17,15500000.0,1.3441886442308666,0.4822442514227745,79.0648986537185,38.8325029112532,2577.947868483069,15.751734873852516,111.50594623427432,4.222876258649535,828.6442098880219,1192.8678354601454,479.5395035532295,77.837,1.7600000000000002,3.48613103424759,21685.0228785807,217000.0
Libya,2010,12.17156223477022,60652794,9.7864,13761600.0,145730000.0,139.26,0.18,18100000.0,1.4991201665899696,0.3965751075153212,76.13180904563242,44.62447761858288,2559.6706612693097,13.346147670632806,103.35959414159812,4.409115441955723,808.5595544137575,1204.8199834935508,483.1468913970292,78.052,1.66,3.52232231151324,22539.8927593081,217000.0
