,Entity,Year,Deaths %,CO2 Emissions,CO2 Emissions Per Cap,Food Emissions,Total GHG,Consumption of Ozone,Shared CO2 Emissions,Transport,Death_rate_ambient_ozone_pol,Death_rate_household_air_pol,Death_rate_all_causes,Death_actual_ozone,Death_actual_particulate,Death_actual_household,Death_under5,Death_5-14,Death_50-69,Death_70+,Death_15-49
2190,Switzerland,1991,5.73209443690271,46132169,6.8661,12125178.1,53000000.0,2883.0,0.2,14900000.0,1.6685586067086384,0.0505067334991472,31.840959678864767,190.8705746177067,3506.9258741246904,5.586639097568576,16.87670250422075,0.2782070193204338,853.3409326069661,2679.4374475183267,147.86315909356406
2191,Switzerland,1992,5.6066017294647,46008823,6.7731,11701278.1,52940000.0,1902.8,0.2,15300000.0,1.5392089360690333,0.0468778642304721,30.36047399195072,179.4279757849571,3404.7038526541724,5.284265910906696,15.955739213756235,0.2754505082475211,811.1265572123978,2611.447624817866,145.32645668686357
2192,Switzerland,1993,5.458005462324231,43600912,6.3475,11690878.1,50430000.0,1585.9,0.19,14300000.0,1.3787617273317585,0.0435287861629758,28.86576967302529,163.98564868289685,3303.424678822884,5.011323855513201,14.356592534927188,0.2791124735813247,761.0594900092123,2551.249094045313,140.4660384427463
2193,Switzerland,1994,5.34352941806404,42675783,6.1507,11729900.8,49620000.0,950.2,0.19,14600000.0,1.4435879805706435,0.0406943347259707,27.57404306950614,175.23263794111267,3220.0425734197274,4.784356828562002,13.40822101670736,0.2606498222394211,725.3192361666669,2519.0868481363605,137.200256218863
2194,Switzerland,1995,5.16653676891156,43412719,6.2058,11522149.9,50580000.0,380.7,0.19,14400000.0,1.5625285377285896,0.0389950619119552,26.900124817130543,193.9880537994484,3211.5820082421224,4.689947028007163,13.02374882342451,0.2137496335843981,709.202142882157,2563.1077548750354,120.022665827368
2195,Switzerland,1996,5.01370430035294,44098704,6.2658,11485589.5,51110000.0,13.4,0.18,14400000.0,1.57827266123349,0.0362606782564161,25.255453638721544,199.5282691588468,3072.6991057880005,4.4451530542493005,12.874439687654124,0.188944194939836,655.3398030785409,2493.8542982572862,109.9698897284249
2196,Switzerland,1997,4.8917041259986,43037152,6.0886,11646862.7,49630000.0,11.0,0.18,14900000.0,1.636811038396935,0.0342932576512275,24.031530697759937,210.36111592273707,2967.294716967121,4.267212055457747,12.765931259239473,0.1750988865012966,628.7277801434358,2430.359535502864,105.627487097818
2197,Switzerland,1998,4.74129566124639,44614714,6.2911,11758036.0,51170000.0,15.9,0.18,15000000.0,1.6063906342233387,0.0322749751979758,22.74506383069652,209.78294773029447,2850.850881532174,4.077328994820071,12.474499751974257,0.1641450873121415,600.7016708126531,2349.6330265789643,97.66048703156362
2198,Switzerland,1999,4.55893782617027,44445861,6.2468,12545662.4,51310000.0,25.4,0.18,15000000.0,1.5572106053706165,0.0302950102409461,21.37977408332572,206.776165599896,2723.6842233335933,3.890231049345209,12.562529925847054,0.1566916807583214,568.0590033551928,2259.760971611177,89.92119236051578
2199,Switzerland,2000,4.36313671950115,43617591,6.1057,12635314.5,50550000.0,30.2,0.17,16500000.0,1.42323430766642,0.0283540111452596,20.155462046143843,192.47626192397635,2608.4670432883204,3.69908374128918,12.597142596181715,0.1422124064419003,545.0819481470969,2156.9860781547386,86.13592390783327
2200,Switzerland,2001,4.172676145746,45082401,6.2796,12945622.6,52460000.0,27.2,0.18,16200000.0,1.3612126409777068,0.0260494987638793,18.665862841568185,187.7445886636453,2454.935339841549,3.452575801097727,12.252491602356956,0.1134827653107202,508.6406938355259,2038.903533818016,82.76972648398396
2201,Switzerland,2002,4.06653234707431,43467507,6.0201,12766970.3,50800000.0,26.2,0.17,16300000.0,1.632786362480998,0.024363842161473,17.572949533912425,229.62371437593563,2352.129878035226,3.2865747022322944,11.387507197566878,0.1002681770542473,486.57620655338815,2004.2256143768936,79.46399610625791
2202,Switzerland,2003,3.92042385631211,44651905,6.1433,12853758.4,51990000.0,16.2,0.16,16399999.999999998,1.668061219451897,0.0227091718290044,16.56404507971256,239.0866200132098,2257.4827271551826,3.119541732462186,10.63562349270335,0.0957603861254571,470.33570537352847,1941.149615987795,74.35264192823922
2203,Switzerland,2004,3.76192062353398,45236397,6.1767,12969993.0,52390000.0,2.1,0.16,16500000.0,1.623132195520491,0.020569942818372,15.30686537165435,237.25477712428065,2120.399446570293,2.8718867462599262,10.646882892189646,0.093014219833125,446.1720295091943,1829.2035755335585,71.53872153979773
2204,Switzerland,2005,3.62898858175518,45788174,6.1986,13229916.6,53110000.0,-16.1,0.15,16600000.000000002,1.413841113774126,0.0188629868244394,14.52078292937449,211.41426947821589,2054.80527583518,2.690295413685035,10.33015199768078,0.0880922845707021,428.4148617318888,1757.5996487802888,69.78679051896592
2205,Switzerland,2006,3.55900184147282,45373455,6.0839,13526816.8,50960000.0,10.6,0.15,16700000.0,1.3186582674034848,0.0172951066180533,13.955991208028964,201.6832793330344,2015.9536760708336,2.51712667731631,10.514103860893574,0.0800446632362227,421.7594664137101,1719.765872674874,65.51746779115506
2206,Switzerland,2007,3.5196132648407605,43368090,5.754,13601795.3,49090000.0,9.5,0.14,17000000.0,1.2601272781162474,0.0158639537801344,13.555422124650324,196.8055518127901,1999.6393977545904,2.358245281518067,10.257694820771531,0.0687742386626447,425.4314768000791,1698.7012001377525,61.98580357011254
2207,Switzerland,2008,3.4732324209581096,44714048,5.8658,13723614.8,50630000.0,10.0,0.14,17400000.0,1.180378835342228,0.0145056221021315,13.152638307400448,188.5028271647148,1983.8477521977973,2.2052109675250624,10.318728370948817,0.0628464145916984,420.8517748218901,1680.0353392423335,61.08189051274654
2208,Switzerland,2009,3.45817878846576,43534481,5.6436,13394439.1,49150000.0,12.0,0.14,17200000.0,1.207738909031476,0.0134096667547433,12.883253679986304,197.37789946687823,1984.4362313492925,2.081861717178103,10.849567955445982,0.0608426560499178,422.7243245408648,1687.597621995877,60.581773667931785
2209,Switzerland,2010,3.4101711511203003,45049377,5.7691,13532067.1,50770000.0,1.6,0.14,17200000.0,1.2311105702690124,0.0122486983610091,12.331234685567818,206.12399356810533,1945.746304189749,1.948079790396969,10.31242482196064,0.0525475358804544,419.8276523624517,1662.8618448841892,58.81582815337348
2210,Switzerland,2011,3.32330625013569,40985444,5.1834,13376202.0,48420000.0,1.35,0.12,17000000.0,1.194755440647341,0.0113097403651472,11.718215931132391,205.11547442003297,1894.816321398482,1.843211485380467,10.040165007585584,0.0528183193571767,411.3651411737216,1622.7961676244288,55.67750369341871
2211,Switzerland,2012,3.2303123267799,42254632,5.2765,13244363.8,49760000.0,0.9,0.12,17100000.0,1.238322615880982,0.0107246478587228,11.224892527077468,217.8192220375644,1861.945265332601,1.7937043367538426,9.697046435350886,0.0464589447240925,403.1691430812761,1615.1691209402552,51.68271796856088
2212,Switzerland,2013,3.11395712253091,43185681,5.3257,13445122.3,50790000.0,1.4,0.12,17100000.0,1.2547865599611183,0.0101321980712306,10.616328386381502,225.99531642502308,1801.9137615392308,1.7343499530849564,9.942002762745814,0.0417903550129689,388.7884846545237,1580.8890244125737,48.24777577939638
2213,Syria,1990,12.8736438756449,37045335,2.9764,13514090.0,56950000.0,1275.4,0.16,7200000.0,2.903123174157445,19.662811720819978,111.5161494796307,125.78638772525206,6572.459785960432,1187.151988302206,1271.720597384489,34.78402361385016,2285.155579302471,2064.5931515826014,1041.9928218022735
2214,Syria,1991,12.99217785728245,42200815,3.293,13973290.0,61360000.0,1398.8,0.18,7600000.0,2.9577177526762046,17.286602616942083,117.763954621843,129.02464542508923,6969.707905034346,1046.1761043218085,1268.156875257543,36.55710969459479,2492.8857200996504,2193.729747779948,1107.4030976276863
2215,Syria,1992,13.153984170116187,42561742,3.2274,14969690.0,62510000.0,1492.5,0.19,7200000.0,3.0545497357922904,15.302837235322617,126.09485449931772,134.70651586501845,7480.205829788462,926.1059156980087,1236.2517650148873,38.09746724187375,2761.394814290515,2372.1146663011223,1207.0536328050823
2216,Syria,1993,13.116480732584602,45221633,3.3337,14931890.0,63010000.0,1578.5,0.2,7500000.0,3.0737480688046084,12.438384879918658,124.51389023457502,136.49885440962106,7448.530056578675,758.4435643696929,1194.0217104851522,38.52897680991032,2765.036802264337,2399.874227152068,1187.5671942768363
2217,Syria,1994,13.12609053857335,46190068,3.311,15883590.0,66390000.0,2846.5,0.2,7500000.0,3.119602380815888,10.46762534564754,126.48535716787596,140.01830088070713,7599.905781021103,639.5025466610446,1133.7154907969548,41.17637217513341,2864.6268477407057,2509.6857564675734,1190.7196147214404
2218,Syria,1995,13.15798453870953,41200149,2.872,16234089.999999998,70520000.0,3007.5,0.18,7500000.0,3.2074792038180795,8.909803407626304,127.94160912801289,145.66592941646607,7715.245313230005,544.7893558943221,1054.4027840729475,44.43000294605955,2950.00535849592,2620.500102929176,1191.5729942023816
2219,Syria,1996,13.0726127268542,42322200,2.8685,16851418.299999997,73730000.0,3015.0,0.18,8800000.0,3.0659132713626933,7.475039400583138,126.25739315672618,141.63428163998373,7676.384178735162,459.9181516195404,947.1997917725369,43.60198430856989,2963.2365756047952,2662.3450288725694,1201.6350798166784
