year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area
1999,1,      Goddard,      S,4.82,3.11,1999.0,2.0,      Goddard,      S,2.97,1.77,1999.0,3.0,      Goddard,      S,3.98,2.58,1999.0,4.0,      Goddard,      S,6.89,5.13,1999.0,5.0,      Goddard,      S,10.27,8.07,1999.0,6.0,      Goddard,      S,13.65,10.83,1999.0,7.0,      Goddard,      S,16.28,13.06,1999.0,8.0,      Goddard,      S,17.96,14.24,1999.0,9.0,      Goddard,      S,18.7,14.62,1999.0,10.0,      Goddard,      S,18.35,14.23,1998,11,      Goddard,      S,16.3,11.88,1998,12,      Goddard,      S,10.52,6.8
2000,1,      Goddard,      S,4.75,2.92,2000.0,2.0,      Goddard,      S,2.91,1.72,2000.0,3.0,      Goddard,      S,4.09,2.67,2000.0,4.0,      Goddard,      S,7.13,5.31,2000.0,5.0,      Goddard,      S,10.92,8.56,2000.0,6.0,      Goddard,      S,13.89,11.04,2000.0,7.0,      Goddard,      S,16.1,12.99,2000.0,8.0,      Goddard,      S,18.21,14.64,2000.0,9.0,      Goddard,      S,18.89,15.07,2000.0,10.0,      Goddard,      S,18.13,14.26,1999,11,      Goddard,      S,15.96,11.51,1999,12,      Goddard,      S,10.72,6.8
2001,1,      Goddard,      S,5.23,3.64,2001.0,2.0,      Goddard,      S,3.65,2.44,2001.0,3.0,      Goddard,      S,4.73,3.36,2001.0,4.0,      Goddard,      S,7.04,5.3,2001.0,5.0,      Goddard,      S,10.33,8.0,2001.0,6.0,      Goddard,      S,13.42,10.56,2001.0,7.0,      Goddard,      S,15.85,12.58,2001.0,8.0,      Goddard,      S,17.42,13.75,2001.0,9.0,      Goddard,      S,18.17,14.36,2001.0,10.0,      Goddard,      S,17.73,13.34,2000,11,      Goddard,      S,15.76,11.81,2000,12,      Goddard,      S,9.91,6.95
2002,1,      Goddard,      S,4.74,2.95,2002.0,2.0,      Goddard,      S,2.96,1.82,2002.0,3.0,      Goddard,      S,3.75,2.36,2002.0,4.0,      Goddard,      S,6.33,4.59,2002.0,5.0,      Goddard,      S,9.51,7.18,2002.0,6.0,      Goddard,      S,12.38,9.7,2002.0,7.0,      Goddard,      S,15.41,12.52,2002.0,8.0,      Goddard,      S,17.07,13.74,2002.0,9.0,      Goddard,      S,17.89,14.1,2002.0,10.0,      Goddard,      S,17.87,13.82,2001,11,      Goddard,      S,15.61,11.0,2001,12,      Goddard,      S,10.35,6.36
2003,1,      Goddard,      S,5.77,4.11,2003.0,2.0,      Goddard,      S,3.79,2.66,2003.0,3.0,      Goddard,      S,4.44,3.24,2003.0,4.0,      Goddard,      S,7.21,5.56,2003.0,5.0,      Goddard,      S,10.74,8.45,2003.0,6.0,      Goddard,      S,13.99,11.16,2003.0,7.0,      Goddard,      S,16.4,13.17,2003.0,8.0,      Goddard,      S,17.58,13.77,2003.0,9.0,      Goddard,      S,18.3,14.14,2003.0,10.0,      Goddard,      S,18.2,13.87,2002,11,      Goddard,      S,15.41,11.67,2002,12,      Goddard,      S,10.79,7.61
2004,1,      Goddard,      S,5.59,3.8,2004.0,2.0,      Goddard,      S,3.58,2.36,2004.0,3.0,      Goddard,      S,4.53,3.16,2004.0,4.0,      Goddard,      S,7.28,5.39,2004.0,5.0,      Goddard,      S,10.47,8.19,2004.0,6.0,      Goddard,      S,13.78,10.89,2004.0,7.0,      Goddard,      S,16.33,13.16,2004.0,8.0,      Goddard,      S,18.01,14.23,2004.0,9.0,      Goddard,      S,18.92,14.59,2004.0,10.0,      Goddard,      S,18.46,14.12,2003,11,      Goddard,      S,16.11,11.47,2003,12,      Goddard,      S,10.56,7.2
2005,1,      Goddard,      S,4.75,3.18,2005.0,2.0,      Goddard,      S,2.97,1.97,2005.0,3.0,      Goddard,      S,4.08,2.73,2005.0,4.0,      Goddard,      S,7.03,5.19,2005.0,5.0,      Goddard,      S,10.29,7.96,2005.0,6.0,      Goddard,      S,13.29,10.31,2005.0,7.0,      Goddard,      S,16.16,12.72,2005.0,8.0,      Goddard,      S,17.92,13.95,2005.0,9.0,      Goddard,      S,18.8,14.85,2005.0,10.0,      Goddard,      S,18.48,14.04,2004,11,      Goddard,      S,16.08,11.75,2004,12,      Goddard,      S,10.23,6.93
2006,1,      Goddard,      S,4.16,2.81,2006.0,2.0,      Goddard,      S,2.65,1.76,2006.0,3.0,      Goddard,      S,3.21,2.01,2006.0,4.0,      Goddard,      S,6.01,4.28,2006.0,5.0,      Goddard,      S,9.46,7.2,2006.0,6.0,      Goddard,      S,13.34,10.58,2006.0,7.0,      Goddard,      S,16.11,12.88,2006.0,8.0,      Goddard,      S,18.1,14.54,2006.0,9.0,      Goddard,      S,19.09,15.18,2006.0,10.0,      Goddard,      S,18.73,14.68,2005,11,      Goddard,      S,16.32,11.8,2005,12,      Goddard,      S,9.68,6.33
2007,1,      Goddard,      S,4.67,3.0,2007.0,2.0,      Goddard,      S,2.9,1.94,2007.0,3.0,      Goddard,      S,3.83,2.54,2007.0,4.0,      Goddard,      S,6.42,4.7,2007.0,5.0,      Goddard,      S,9.65,7.54,2007.0,6.0,      Goddard,      S,13.29,10.48,2007.0,7.0,      Goddard,      S,15.96,12.61,2007.0,8.0,      Goddard,      S,17.68,14.03,2007.0,9.0,      Goddard,      S,18.86,15.39,2007.0,10.0,      Goddard,      S,18.51,14.59,2006,11,      Goddard,      S,16.23,11.61,2006,12,      Goddard,      S,9.85,6.48
2008,1,      Goddard,      S,6.41,4.07,2008.0,2.0,      Goddard,      S,3.89,2.4,2008.0,3.0,      Goddard,      S,5.28,3.68,2008.0,4.0,      Goddard,      S,8.24,6.23,2008.0,5.0,      Goddard,      S,11.05,8.6,2008.0,6.0,      Goddard,      S,14.06,11.4,2008.0,7.0,      Goddard,      S,16.09,12.95,2008.0,8.0,      Goddard,      S,17.64,14.13,2008.0,9.0,      Goddard,      S,18.15,14.39,2008.0,10.0,      Goddard,      S,17.99,14.12,2007,11,      Goddard,      S,15.89,12.16,2007,12,      Goddard,      S,11.98,8.38
